Messengers, Luminality, Effects, delta(0), ELIV(1)/EPl, ELIV(2))/EPl, InspireID
Gamma rays, , Birefrigence, , 1e-16, , 1311435
Gamma rays, +, Time delays, , 9.02, 5.74e-8, 2756998
Gamma rays, -, Time delays, , 8.20, 5.66e-8, 2756998
Gamma rays, +, Pair decay, , 1.39e5, 1.17e-4, 1863649
Gamma rays, +, Pair decay, , 1.16e5, 1.04e-4, 1869962
Gamma rays, +, Splitting, , , 1.81e-3, 1869962
Gamma rays, -, Breit-Wheeler, , 4.70, 1.17e-7, 1701232
Gamma rays, -, Bethe-Heitler, , , 1.72e-8, 1500959
Neutrinos, , Oscillations, 2.8e-27, , , 930440
Neutrinos, -, Time delays, 2.5e-18, 1.23e2, 3.44e-7, 1434280
Neutrinos, +, Pair emission, 1.8e-21, , , 2890924
Neutrinos, +, Splitting, , 4.34e10, 0.9, 2879713
